,waktu,user,text,STOP_REMOVAL,label
0,2021-11-25 10:22:37+00:00,triherlan, judul berita nya mantap tendang anwar abbas ulama kok tendang yah, judul berita nya mantap tendang anwar abbas ulama,false
1,2021-11-25 10:22:35+00:00,fahadkanan, ceo formula alberto longgo menampik bhw jakarta membayar lebih tinggi dari kota ternama lainnya dunia agar dapat men, ceo formula alberto longgo menampik bhw jakarta membayar kota ternama dunia men,true
2,2021-11-25 10:22:35+00:00,jinkyukkk,iyahhh 2022 berita datings seokbeen xixixi,iyahhh 2022 berita datings seokbeen xixixi,false
3,2021-11-25 10:22:30+00:00,budiatnogr, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung,true
4,2021-11-25 10:22:29+00:00,beritartm,infografik bajet2022 dana khas bank negara untuk pmks untuk maklumat lanjut mengenai inisiatif sokongan pmks ,infografik bajet2022 dana khas bank negara pmks maklumat inisiatif sokongan pmks,true
5,2021-11-25 10:22:25+00:00,detikfinance, telah memerintahkan dpr dan pemerintah untuk memperbaiki undang undang cipta kerja memberikan waktu hingga , memerintahkan dpr pemerintah memperbaiki undang undang cipta kerja,true
6,2021-11-25 10:22:24+00:00,detikhealth,tidak perlu konsumsi obat ada cara alami untuk menurunkan gula darah mulai dari olahraga teratur hingga minum air,konsumsi obat alami menurunkan gula darah olahraga teratur minum air,true
7,2021-11-25 10:22:24+00:00,mayafasqual, berdasarkan data yang ditampilkan tito realisasi belanja pemprov sumut masih rp9 triliun dari total anggaran rp13 triliun, berdasarkan data ditampilkan tito realisasi belanja pemprov sumut rp9 triliun total anggaran rp13 triliun,true
8,2021-11-25 10:22:22+00:00,87kaisar,demokrat dalam berita edisi november 2021 demokratharapanrakyat bareng ahy,demokrat berita edisi november 2021 demokratharapanrakyat bareng ahy,true
9,2021-11-25 10:22:21+00:00,rchlthlt,please bener banget gue darah tinggi anj tiap baca berita doddy,please bener banget gue darah anj baca berita doddy,false
10,2021-11-25 10:22:17+00:00,jooooooooeeeeee, status terkini covid november 2021 malam yang sahih berita rtm rtm rtm75 terusunggul beritartm covid, status terkini covid november 2021 malam sahih berita rtm rtm rtm75 terusunggul beritartm covid,true
11,2021-11-25 10:22:16+00:00,guavajuyce, berita kek gini juga ampas banget menurutku gala pun pasti mana mau jadi sultan cilik kalo harus kehilangan, berita kek gini ampas banget menurutku gala sultan cilik kalo kehilangan,false
12,2021-11-25 10:22:14+00:00,naj_2709, tito minta pemda percepat realisasi belanja apbd dan ini membutuhkan kerjasama semua komponen daerah agar, tito pemda percepat realisasi belanja apbd membutuhkan kerjasama komponen daerah,true
13,2021-11-25 10:22:09+00:00,ahmdrdho0,juara dunia wushu penghafal alquran tahun asal jawa timur ini dapat beasiswa hingga ,juara dunia wushu penghafal alquran jawa timur beasiswa,true
14,2021-11-25 10:22:09+00:00,87kaisar, minta surat terbuka korban pelecehan seksual kampus ditanggapi serius, surat terbuka korban pelecehan seksual kampus ditanggapi serius,true
15,2021-11-25 10:22:08+00:00,imyoona114,pada tanggal januari 2014 dikonfirmasi oleh sme terkait berita kencan yoona dengan aktor lee seung dikatakan,tanggal januari 2014 dikonfirmasi sme terkait berita kencan yoona aktor lee seung,true
16,2021-11-25 10:22:08+00:00,kellamotto, wah kabar baik ini dpr menjadi tuan rumah inter parliamentary union ipu general assembly pada 2022 dpruntuknegeri teru, kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,true
17,2021-11-25 10:21:59+00:00,mllmrn__,taegi bilang aja kalian mau nya dia yang salah kalo dia,taegi bilang aja nya salah kalo,false
18,2021-11-25 10:21:58+00:00,alika_syfr, pelaku yang terlibat pengroyokan anak ini semuanya usia anak dan pelaku suami istri itu menikah siri krn juga masih, pelaku terlibat pengroyokan anak usia anak pelaku suami istri menikah siri krn,true
19,2021-11-25 10:21:57+00:00,ahmadhelmiee, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,true
20,2021-11-25 10:21:55+00:00,87kaisar,gugatan kubu klb moeldoko yasonna ditolak ptun jakarta,gugatan kubu klb moeldoko yasonna ditolak ptun jakarta,true
21,2021-11-25 10:21:51+00:00,andracadabra1, kemarin mendagri tito karnavian menyoroti realisasi belanja pemprov sumut masih persen percepa, kemarin mendagri tito karnavian menyoroti realisasi belanja pemprov sumut persen percepa,true
22,2021-11-25 10:21:50+00:00,izdetyuu,bosen fyp tiktok isinya berita itu mulu padahal gapernah mau ngikutin,bosen fyp tiktok isinya berita mulu gapernah ngikutin,false
23,2021-11-25 10:21:48+00:00,tkempur, rakyat mendagri ini luar biasa begitu melihat data serapan apbd daerah daerah realisasi nya diatas , rakyat mendagri data serapan apbd daerah daerah realisasi nya diatas,true
24,2021-11-25 10:21:43+00:00,acehprovgoid,bupati aceh barat ajak antara digital media bangkitkan semangat berinvestasi aceh,bupati aceh barat ajak digital media bangkitkan semangat berinvestasi aceh,true
25,2021-11-25 10:21:43+00:00,borexs51, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung,true
26,2021-11-25 10:21:42+00:00,acehprovgoid,pemkab nagan raya selenggarakan tot kinerja,pemkab nagan raya selenggarakan tot kinerja,true
27,2021-11-25 10:21:41+00:00,acehprovgoid,raih juara dalam ajang pentas pai tingkat provinsi aceh bupati berikan bonus kepada raihana shafa thahira,raih juara ajang pentas pai tingkat provinsi aceh bupati bonus raihana shafa thahira,true
28,2021-11-25 10:21:40+00:00,acehprovgoid,aminullah banda aceh dan oki bersinergi majukan sektor pariwisata,aminullah banda aceh oki bersinergi majukan sektor pariwisata,true
29,2021-11-25 10:21:38+00:00,triaanakmama, tidak semua urusan harus ajukan presiden ini ranah pemerintah daerah amp penyelenggara kata faldo artinya tidak,urusan ajukan presiden ranah pemerintah daerah amp penyelenggara faldo,false
30,2021-11-25 10:21:32+00:00,dhesmond4, demo buruh patung kuda memanas massa nyalakan flare jokowimundur jokowimundur, demo buruh patung kuda memanas massa nyalakan flare jokowimundur jokowimundur,true
31,2021-11-25 10:21:32+00:00,republikaonline,bentrokan ormas karena rebutan limbah ekonomis salah satu pabrik karawang,bentrokan ormas rebutan limbah ekonomis salah pabrik karawang,true
32,2021-11-25 10:21:31+00:00,zhrh_ma, simple telekung hati terpikat betul selama duk beli tudung2 cantik skrg ape salahnye tambah koleksi, simple telekung hati terpikat duk beli tudung2 cantik skrg ape salahnye koleksi,false
33,2021-11-25 10:21:31+00:00,ennnnjel,baca berita ekonomi internasional dimana ,baca berita ekonomi internasional dimana,false
34,2021-11-25 10:21:31+00:00,sabdowiro,didu nah justru otak kamu taruh dimana ada bandara dijual ,didu otak taruh dimana bandara dijual,false
35,2021-11-25 10:21:30+00:00,87kaisar, apresiasi ptun tolak gugatan kubu moeldoko menkumham objektif, apresiasi ptun tolak gugatan kubu moeldoko menkumham objektif,true
36,2021-11-25 10:21:24+00:00,naj_2709, berdasarkan data yang ditampilkan tito realisasi belanja pemprov sumut masih rp9 triliun dari total anggaran rp13 triliun, berdasarkan data ditampilkan tito realisasi belanja pemprov sumut rp9 triliun total anggaran rp13 triliun,true
37,2021-11-25 10:21:20+00:00,sephet, betul dalam thn ngga diperbaiki dinyatakan inkonstitusional secara permanen aamiin, thn ngga diperbaiki dinyatakan inkonstitusional permanen aamiin,true
38,2021-11-25 10:21:18+00:00,sartonohutomo, bupati mamteng rhp berikan bantuan pembangunan masjid arafah 100 juta papua, bupati mamteng rhp bantuan pembangunan masjid arafah 100 juta papua,true
39,2021-11-25 10:21:17+00:00,letta_lette, wah kabar baik ini dpr menjadi tuan rumah inter parliamentary union ipu general assembly pada 2022 dpruntuknegeri teru, kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,true
40,2021-11-25 10:21:14+00:00,sinaronline,izham berkata pembekal dan peniaga sebenarnya tiada pilihan melainkan terpaksa menaikkan harga berikutan kos bahan,izham pembekal peniaga tiada pilihan terpaksa menaikkan harga berikutan kos bahan,true
41,2021-11-25 10:21:13+00:00,mbalei23, musik yang terlalu kencang pada acara pernikahan menyebabkan ekor ayam mati mendadak ayam tersebut mati karena serangan , musik kencang acara pernikahan menyebabkan ekor ayam mati mendadak ayam mati serangan,true
42,2021-11-25 10:21:11+00:00,triaanakmama, semua terkait formula tanggung jawab pemprov dki kasihan anies baswedan selalu disalahkan terus padahal anies kan , terkait formula tanggung pemprov dki kasihan anies baswedan disalahkan anies,false
43,2021-11-25 10:21:07+00:00,detikcom,kisah inspiratif datang dari seorang guru bernama asdilita guru penyandang disabilitas ini tak pernah menyerah unt,kisah inspiratif guru bernama asdilita guru penyandang disabilitas menyerah unt,true
44,2021-11-25 10:21:07+00:00,detikcom,hujan deras mengguyur lamongan mengakibatkan jalan sepanjang tidak bisa dilalui itu lantaran tertutup longsor,hujan deras mengguyur lamongan mengakibatkan jalan lantaran tertutup longsor,true
45,2021-11-25 10:21:06+00:00,selamet_99, sajak one got sudah cium bau2 penjara one got mau coba lempar tai nya pak jokowi setelah kpk bersuara dan sepupunya , sajak one got cium bau2 penjara one got coba lempar tai nya jokowi kpk bersuara sepupunya,false
46,2021-11-25 10:21:00+00:00,adamezique, edaran untuk warga twitter semua berhati hati membeli peranti yang tidak diperakui oleh suruhanjaya komunikasi dan multime, edaran warga twitter berhati hati membeli peranti diperakui suruhanjaya komunikasi multime,true
47,2021-11-25 10:21:00+00:00,zelytaanakpapih,selamat hari guru tpi msih ada nasib guru tidak selamat upah diterima tdk sesuai waktu amp ilmu dibe,selamat guru tpi msih nasib guru selamat upah diterima tdk sesuai amp ilmu dibe,false
48,2021-11-25 10:20:56+00:00,zhariframli, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,true
49,2021-11-25 10:20:54+00:00,cikyahming, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,true
50,2021-11-25 10:20:50+00:00,fenstayo, cegah stunting tanggung jawab bersama berita metro beritakalimantan beritaterkini, cegah stunting tanggung berita metro beritakalimantan beritaterkini,true
51,2021-11-25 10:20:44+00:00,antaranews,anies mengatakan lokasi formula nantinya ditentukan oleh tim dari feo imi dan jakpro,anies lokasi formula ditentukan tim feo imi jakpro,true
52,2021-11-25 10:20:44+00:00,wpunchh, berdasarkan data yang ditampilkan tito realisasi belanja pemprov sumut masih rp9 triliun dari total anggaran rp13 triliun, berdasarkan data ditampilkan tito realisasi belanja pemprov sumut rp9 triliun total anggaran rp13 triliun,true
53,2021-11-25 10:20:43+00:00,andracadabra1, realisasi apbd pemda amat penting demi stimulasi ekonomi masyarakat mulai berangsur naik , realisasi apbd pemda stimulasi ekonomi masyarakat berangsur,true
54,2021-11-25 10:20:43+00:00,srpsr2, stafsus setneg semua terkait formula tanggung jawab pemprov dki, stafsus setneg terkait formula tanggung pemprov dki,false
55,2021-11-25 10:20:42+00:00,voidotid,menteri ketenagakerjaan menaker ida fauziyah memastikan adanya percepatan penyaluran bantuan subsidi upah bsu ,menteri ketenagakerjaan menaker ida fauziyah percepatan penyaluran bantuan subsidi upah bsu,true
56,2021-11-25 10:20:42+00:00,huntergamers6, hari ini banyak berita mengenai putusan mahkamah konstitusi tentang cipta kerja dengan judul yang cukup berag, berita putusan mahkamah konstitusi cipta kerja judul berag,false
57,2021-11-25 10:20:41+00:00,501awani,bilik gerakan ibu pejabat polis kontinjen ipk kelantan akan beroperasi jam bagi memantau keadaan,bilik gerakan pejabat polis kontinjen ipk kelantan beroperasi jam memantau,true
58,2021-11-25 10:20:39+00:00,moonpardi, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,true
59,2021-11-25 10:20:36+00:00,pandawa5321,iki kasus opo ketunggalan berita,iki opo ketunggalan berita,false
60,2021-11-25 10:20:32+00:00,vivacoid,bandung raya terdampak siklon tropis paddy,bandung raya terdampak siklon tropis paddy,true
61,2021-11-25 10:20:29+00:00,tuaji_lingsir, wah kabar baik ini dpr menjadi tuan rumah inter parliamentary union ipu general assembly pada 2022 dpruntuknegeri teru, kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,true
62,2021-11-25 10:20:26+00:00,abdi_nagari, minta pemda percepat realisasi apbd 2021 amp ini arahan bapak presiden lho gaes percepatrealisasiapbd htt, pemda percepat realisasi apbd 2021 amp arahan presiden lho gaes percepatrealisasiapbd htt,true
63,2021-11-25 10:20:24+00:00,exomalaysia_,gunung stong jalan gua musang lojing antara lokasi risiko kepala air tanah ,gunung stong jalan gua musang lojing lokasi risiko kepala air tanah,true
64,2021-11-25 10:20:23+00:00,hariadiagus2, baca komenan cebong kek orang mabok alias goblok pernah liat berita, baca komenan cebong kek orang mabok alias goblok liat berita,false
65,2021-11-25 10:20:20+00:00,gurunpasir19,jika masyarakat karena suatu hal yang primer harus melakukan perjalanan keluar daerah maka,masyarakat primer perjalanan daerah,false
66,2021-11-25 10:20:18+00:00,_farisnajwan, edaran untuk warga twitter semua berhati hati membeli peranti yang tidak diperakui oleh suruhanjaya komunikasi dan multime, edaran warga twitter berhati hati membeli peranti diperakui suruhanjaya komunikasi multime,true
67,2021-11-25 10:20:15+00:00,detikcom,pihak dprd belum mengetahui dengan pasti soal laporan kejaksaan tinggi kejati sulawesi selatan sulsel,dprd laporan kejaksaan kejati sulawesi selatan sulsel,true
68,2021-11-25 10:20:14+00:00,soekarnorahmat, bukan sekedar isapan jempol sistem smart kontrak nft dapat membuat orang kaya dalam waktu singkat, sekedar isapan jempol sistem smart kontrak nft orang kaya singkat,false
69,2021-11-25 10:20:14+00:00,wurdianto, jamie carragher ikut jengkel melihat trio mnm tampil malas malasan punya banyak pemain berlabel bintang tidak menjamin kesuk, jamie carragher jengkel trio mnm tampil malas malasan pemain berlabel bintang menjamin kesuk,true
70,2021-11-25 10:20:12+00:00,fasyam7, sejak awal fpks dpr menolak cipta kerja sudah ingatkan bahwa dalam penyusunan harus cermat melibatkan banyak stakehol, fpks dpr menolak cipta kerja ingatkan penyusunan cermat melibatkan stakehol,true
71,2021-11-25 10:20:09+00:00,bungfrankz, saatnya negara dapat mengevaluasi semua ormas dan lsm ada indonesia perwira polisi terluka, negara mengevaluasi ormas lsm indonesia perwira polisi terluka,false
